Procesa_grupa,Darbibas_joma,Process,Procesa_galaprodukti,Procesa_izpilditajs-patstaviga_strukturvieniba
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Reģistrēts/ nav reģistrēts saimnieciskās darbības veicējs,NP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Izslēgta NM saimnieciskā darbība,NP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Apturēta  NM saimnieciskā darbība,NNVP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Atjaunota NM saimnieciskā darbība,NNVP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Reģistrēta/ nav reģistrēta struktūrvienība,NP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Izslēgta/ nav izslēgta struktūrvienība no reģistra,NP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Reģistrēts/ nav reģistrēts mikrouzņēmumu nodokļa maksātājs,NP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,"Reģistrēta ""Paziņotā saimnieciskā darbība""",NP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Reģistrēts/ nav reģistrēts samazinātās patentmaksas maksātājs,NP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Veiktas izmaiņas samazinātās patentmaksas maksātāja datos,NP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,NM reģistrēts/ nav reģistrēts PVN maksātāju reģistrā,NP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,NM izslēgts no PVN maksātāju reģistra,NP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,NM izslēgts no PVN maksātāju reģistra,NNVP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Reģistrēts kā NILLTPFN likuma subjekts,NSUP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Reģistrēt/ nav reģistrēts azartspēļu automāts un iekārta,NSUP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Reģistrēts/ nav reģistrēts stipendijas nolikums,NP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Reģistrēta/ nav reģistrēta elektroniskā ierīce vai iekārta,NNVP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Noņemta no uzskaites elektroniskā ierīce vai iekārta,NNVP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Reģistrēts/ nav reģistrēts elektronisko ierīču un iekārtu apkalpojošais dienests,NNVP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Elektronisko ierīču un iekārtu apkalpojošais dienests izslēgts no reģistra,NNVP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Reģistrēta/ nav reģistrēta atbilstības pārbaudes institūcija,NNVP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Atbilstības pārbaudes institūcija izslēgta no reģistra,NNVP
Pamatdarbība,Reģistri un datu uzskaite,Subjektu un objektu reģistrēšana un to datu izmaiņu veikšana,Reģistrētas kvītis un biļetes,NP
